Local time,Open,High,Low,Close,Volume
11.06.2018 21:00:00.000 GMT-0700,1.17645,1.17706,1.17636,1.17690,4681.9399
11.06.2018 22:00:00.000 GMT-0700,1.17689,1.17747,1.17667,1.17688,6570.8701
11.06.2018 23:00:00.000 GMT-0700,1.17690,1.17713,1.17562,1.17657,12071.8604
12.06.2018 00:00:00.000 GMT-0700,1.17656,1.18037,1.17656,1.17938,15278.1299
12.06.2018 01:00:00.000 GMT-0700,1.17938,1.18088,1.17874,1.17941,15148.3301
12.06.2018 02:00:00.000 GMT-0700,1.17941,1.18031,1.17860,1.17960,12598.1504
12.06.2018 03:00:00.000 GMT-0700,1.17959,1.17981,1.17846,1.17848,11342.7002
12.06.2018 04:00:00.000 GMT-0700,1.17844,1.17948,1.17761,1.17938,9370.9502
12.06.2018 05:00:00.000 GMT-0700,1.17938,1.18007,1.17754,1.18005,17447.9395
12.06.2018 06:00:00.000 GMT-0700,1.18005,1.18007,1.17857,1.17883,15617.7598
12.06.2018 07:00:00.000 GMT-0700,1.17880,1.17958,1.17825,1.17866,15699.2197
12.06.2018 08:00:00.000 GMT-0700,1.17867,1.17953,1.17793,1.17909,13217.5596
12.06.2018 09:00:00.000 GMT-0700,1.17909,1.17931,1.17729,1.17735,10551.3096
12.06.2018 10:00:00.000 GMT-0700,1.17734,1.17734,1.17362,1.17509,15437.3203
12.06.2018 11:00:00.000 GMT-0700,1.17509,1.17512,1.17334,1.17497,10894.4902
12.06.2018 12:00:00.000 GMT-0700,1.17500,1.17548,1.17465,1.17513,7750.9302
12.06.2018 13:00:00.000 GMT-0700,1.17513,1.17513,1.17441,1.17446,4925.48
12.06.2018 14:00:00.000 GMT-0700,1.17448,1.17474,1.17432,1.17440,2346.8799
12.06.2018 15:00:00.000 GMT-0700,1.17440,1.17473,1.17409,1.17458,3535.4399
12.06.2018 16:00:00.000 GMT-0700,1.17458,1.17480,1.17420,1.17475,3640.4299
12.06.2018 17:00:00.000 GMT-0700,1.17475,1.17524,1.17447,1.17456,5334.46
12.06.2018 18:00:00.000 GMT-0700,1.17457,1.17482,1.17399,1.17456,5233.75
12.06.2018 19:00:00.000 GMT-0700,1.17453,1.17492,1.17441,1.17478,3970.3501
12.06.2018 20:00:00.000 GMT-0700,1.17478,1.17478,1.17430,1.17445,3808.95
12.06.2018 21:00:00.000 GMT-0700,1.17445,1.17449,1.17396,1.17437,3283.6201
12.06.2018 22:00:00.000 GMT-0700,1.17437,1.17529,1.17410,1.17511,5599.77
12.06.2018 23:00:00.000 GMT-0700,1.17511,1.17511,1.17300,1.17396,10402.8701
13.06.2018 00:00:00.000 GMT-0700,1.17396,1.17536,1.17394,1.17463,10893.7002
13.06.2018 01:00:00.000 GMT-0700,1.17462,1.17497,1.17330,1.17437,12263.75
13.06.2018 02:00:00.000 GMT-0700,1.17439,1.17620,1.17390,1.17550,11874.1396
13.06.2018 03:00:00.000 GMT-0700,1.17548,1.17702,1.17532,1.17621,11350.9404
